Trial,Average Fitness,Average Distance,Best Fitness,Best Distance,Best Route,Worst Fitness,Worst Distance,Worst Route
317001,3.150869621838382E-6,317373.5570462895,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.148440725251119E-6,317617.540638387,I-A-M-B-G-E-H-L-J-C-K-D-F-I
318001,3.1506672137894437E-6,317393.8890122975,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.148440725251119E-6,317617.540638387,I-A-M-B-G-E-H-L-J-C-K-D-F-I
319001,2.702081578288481E-6,370785.33135618106,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.6349995162636857E-6,379506.71103650006,B-A-I-M-G-E-H-L-J-C-K-D-F-B
320001,1.974855134994497E-6,519026.2204076948,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7889858299516617E-6,558975.9199082197,C-A-B-M-G-E-H-L-J-I-K-D-F-C
321001,2.046722645824458E-6,516034.0662963096,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.695006598564546E-6,589968.2047532276,M-A-J-I-G-H-E-L-B-C-K-D-F-M
322001,2.9979846545291834E-6,333865.407404168,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.931977783165952E-6,341066.7044414638,F-A-B-M-G-E-H-L-C-J-K-D-I-F
323001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
324001,2.106852445895147E-6,489579.2960414199,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8730626981101476E-6,533884.9580470338,L-I-B-M-G-E-H-A-J-C-K-D-F-L
325001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
326001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
327001,2.8283580128008553E-6,353976.77723848337,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.7952877205274437E-6,357744.9264547657,A-I-M-B-G-E-H-L-J-C-K-D-F-A
328001,2.595029561795928E-6,387632.49106943206,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1959972892621233E-6,455373.9683057669,A-B-E-K-G-H-I-L-J-C-M-D-F-A
329001,2.3079068093000606E-6,444122.1127324912,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.044949488601844E-6,489009.6335258196,I-L-B-M-G-E-H-A-J-C-K-D-F-I
330001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-J-E-H-L-G-C-K-D-I-F
331001,2.6235963783262106E-6,384180.9505763512,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.4673652168172783E-6,405290.62871767615,F-A-B-M-G-K-H-L-J-C-E-D-I-F
332001,2.1737028460605277E-6,464267.40381325484,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.0678633836728393E-6,483590.9412080445,F-K-B-M-G-E-H-L-J-C-I-D-A-F
333001,2.6031882017761255E-6,387128.6314875688,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.470181865638919E-6,404828.49214883515,I-A-B-M-G-E-K-L-J-C-H-D-F-I
334001,2.7373001214690084E-6,365631.8455598279,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1925821273570786E-6,456083.25796461373,F-A-B-M-G-E-H-L-J-I-C-K-D-F
335001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
336001,2.84307087359108E-6,352081.68378459587,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.815343593452877E-6,355196.43226692284,A-I-B-M-G-E-H-L-J-C-K-D-F-A
337001,2.6771976925801825E-6,377442.8720843948,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.3917303972310523E-6,418107.3256240408,I-A-B-M-L-E-H-G-J-C-K-D-F-I
338001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
339001,2.942523374157168E-6,340034.1281335445,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.9149610029602256E-6,343057.762688582,F-B-A-M-G-E-H-L-J-C-K-D-I-F
340001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
341001,2.096991429968198E-6,482672.89876092813,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7439967500080665E-6,573395.5639512371,B-D-A-M-G-E-H-L-J-I-C-K-F-B
342001,1.8422582177974515E-6,556528.8367374971,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.6471648873793552E-6,607103.7621443007,F-A-B-M-E-H-D-L-J-K-C-I-G-F
343001,2.0177142764947755E-6,511375.68491653906,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8009360010781075E-6,555266.8164784105,L-B-I-M-G-E-H-A-J-C-K-D-F-L
344001,2.8594070381629264E-6,350284.64711753465,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.8121917546977907E-6,355594.5281218791,I-A-B-M-G-E-H-L-J-C-K-F-D-I
345001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
346001,2.6177663267452977E-6,385680.076977459,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.370871867
